"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 02 06:36:50 UTC 2024","Thu May 02 06:36:54 UTC 2024","4606","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"skipped","Thu May 02 06:22:05 UTC 2024","Thu May 02 06:22:05 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Thu May 02 06:36:42 UTC 2024","Thu May 02 06:36:45 UTC 2024","2902","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"broken","Thu May 02 08:20:45 UTC 2024","Thu May 02 08:20:45 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Thu May 02 06:36:54 UTC 2024","Thu May 02 06:37:04 UTC 2024","10146","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Thu May 02 06:49:07 UTC 2024","Thu May 02 06:49:22 UTC 2024","14923","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"skipped","Thu May 02 08:20:45 UTC 2024","Thu May 02 08:20:45 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Thu May 02 06:37:06 UTC 2024","Thu May 02 06:37:17 UTC 2024","11491","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Thu May 02 07:23:30 UTC 2024","Thu May 02 07:24:05 UTC 2024","34857","","21. Forgot password function","","","","2. Reset password",""
"passed","Thu May 02 07:23:23 UTC 2024","Thu May 02 07:23:30 UTC 2024","7195","","21. Forgot password function","","","","1. Direct to forgot password page",""
"skipped","Thu May 02 05:59:48 UTC 2024","Thu May 02 05:59:48 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Thu May 02 06:01:44 UTC 2024","Thu May 02 06:02:01 UTC 2024","16614","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Thu May 02 05:44:31 UTC 2024","Thu May 02 05:44:48 UTC 2024","16145","","9. Client Portal - Home","","","","1. Check links",""
